Hour,GROUND_R5_Temp,GROUND_R5_Humidity,UPPER_R5_Temp,UPPER_R5_Humidity,District Heating Water Energy : HOT WATER LOOP DISTRICT HEATING,DistrictCooling:Facility : None,Electricity:Facility : None,Fans:Electricity : None,InteriorEquipment:Electricity : None,InteriorLights:Electricity : None,Pumps:Electricity : None,Water:Facility : None,Total Energy
1,21.530262527441078,61.15692943133492,20.578241575015173,48.71236826436544,504293977.40202284,63833453.84949584,72741606.01673998,8673228.299255883,49884138.24231657,12278055.081989996,1906184.393177544,0.059505691287907315,262117416.43391287
2,21.53228095758646,60.11412070449571,20.478577548835993,45.13386872634016,506336202.01388204,49457522.032556795,68439629.52129602,8673228.299255883,45571976.87178277,12278055.081989996,1916369.2682673784,0.029752845643953606,253704204.2034423
3,21.53385969785397,58.14525665940358,20.411610887127075,40.99380534413487,506178294.1253392,30949556.149957545,65882028.585039385,8673228.299255883,43415896.1865159,12278055.081989996,1514849.0172776124,0.007438211410988301,244924645.34347165
4,21.53408137492826,55.64858339658736,20.438947966866966,37.455786217211745,506740274.46686935,45526889.80987496,64854582.69678943,8673228.299255883,42337855.84388244,12278055.081989996,1565443.4716611118,0.007438211410988301,248943637.4557042
5,21.532168126074964,54.91774939320092,20.289205965941203,38.37996202417998,505904003.7196783,41820843.07331096,68993138.55621396,8673228.299255883,42949903.765588544,15865123.000067241,1504883.4913022937,0.029752845643953606,251568087.4872104
6,21.53269624393009,53.86881646838693,20.220101030006585,38.8667498537519,503731727.98444426,37584286.63758595,81837825.92183864,8673228.299255883,49564201.322168,22142492.054821134,1457904.2455936403,0.2008317080966909,262276497.46251538
7,21.532190602401528,53.31628318880767,20.305462301084617,38.741739973965544,498852957.34350353,39295851.25500124,97032717.07290834,8673228.299255883,63870836.777960315,23039258.9947167,1449393.0009754284,0.6991918726329261,276415653.2724099
8,21.531167520793904,53.076562574020386,20.443349135767914,38.594171457150644,492908385.2649056,43394209.51132854,109224654.6365325,8673228.299255883,76953376.39034042,22142492.054821134,1455557.8921150533,0.7438211410988574,287992186.2286105
9,21.5313988543185,52.816048610203126,20.462205736181545,39.57022877803292,499042205.7997167,53842559.44082361,104118719.68413801,8673228.299255883,78031416.73297387,15865123.000067241,1548951.6518410142,0.7140682954549032,288413641.4309848
10,21.53071226914977,52.71087354907061,20.451419129570922,39.786310811910205,501665726.6283997,63783861.11021644,101645075.03733678,8673228.299255883,77273313.31048903,14071588.96178113,1626944.4658107394,0.62480975852304,290128270.95020884
11,21.530939845780498,54.01888094458781,20.532421852122706,39.860042500272435,502743152.19870895,77689260.43627723,101449149.20174292,8673228.299255883,76981202.30893148,14071588.96178113,1723129.6317744053,0.5653040672351313,294926620.0800716
12,21.530638262799503,56.795679029433984,20.759924182832364,42.96223431288474,503948236.9280595,124149639.01153333,103169527.36320363,8673228.299255883,78059242.65156494,14071588.96178113,2365467.4506016504,0.4537308960703022,312535486.00973463
13,21.53113453254492,58.42130080138987,20.73835872060365,45.165234449401915,502929010.71866715,112903495.32266058,102318369.49066707,8673228.299255883,76981202.30893148,14071588.96178113,2592349.9206985794,0.3942252047823942,307595871.504443
14,21.532378738400677,59.42611511178969,20.795559159821206,45.876542783860565,486261707.9293699,119572963.99858171,99068053.51701383,8673228.299255883,73747081.28103115,14071588.96178113,2576154.974945695,0.3495959363164626,301012944.1596644
