Hour,Hydrogen_Produced_kg,Hydrogen_Stored_kg,Hydrogen_Used_kg,Electrolysis_Heat_Gain_kWh,FuelCell_Heat_Gain_kWh,Electrolysis Heat Consummed_kW,Energy_Consumption_kWh,Generated_PV_Power_kW,P_net_kW,Electrolysis Energy Consummed_kW,Fuel Cell Generated Energy_kWh,Useful_Energy_After_Storage_kWh,Water_Waste_filtered_kg,Tap_Water_Used_kg,Water_Needed_kg,Water_Produced_in_FuelCell_kg
0,0.0,0.0,0.0,0.0,0.0,0.0,72.81039345386469,0.0,-72.81039345386469,0.0,0.0,0.0,11.901138257581461,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,70.47339005651175,0.0,-70.47339005651175,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,68.0346237065199,0.0,-68.0346237065199,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,69.15101040436228,0.0,-69.15101040436228,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,69.88002430200288,0.0,-69.88002430200288,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,72.85458262847649,0.0,-72.85458262847649,0.0,0.0,0.0,40.16634161933818,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,76.78212590900276,0.0,-76.78212590900276,0.0,0.0,0.0,139.83837452658523,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,79.99782950794737,0.0,-79.99782950794737,0.0,0.0,0.0,148.7642282197715,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,80.11490039749577,31.57209325,-48.54280714749577,0.0,0.0,31.57209325,142.81365909098065,0.0,0.0,0.0
9,1.0493267584247983,1.0493267584247983,0.0,17.48703042914926,0.0,0.7310309750359426,80.59118637505802,138.88128780555556,58.29010143049754,58.29010143049754,0.0,80.59118729609202,124.961951704608,9.443940825823184,9.443940825823184,0.0
10,2.772047031802822,3.82137379022762,0.0,46.19616378499403,0.0,1.9311927654892989,81.92406113335323,235.91127375,153.98721261664676,153.98721261664676,0.0,81.92405868560225,113.06081344702626,24.948423286225395,24.948423286225395,0.0
11,3.99824478943027,7.81961857965789,0.0,66.63074941585545,0.0,2.785443869969755,86.81541278048184,308.91791083333334,222.1024980528515,222.1024980528515,0.0,86.8154121813407,90.74617921406045,35.984203104872435,35.984203104872435,0.0
12,4.42764470194798,12.24726328160587,0.0,73.78669895796308,0.0,3.084592475690426,85.44329764012305,331.3989608333333,245.95566319321028,245.95566319321028,0.0,85.44329702164482,78.84504095647884,39.84880231753182,39.84880231753182,0.0
13,4.160572726474325,16.407836008080196,0.0,69.33594448669463,0.0,2.8985323327771133,83.61470671101789,314.7345216666667,231.1198149556488,231.1198149556488,0.0,83.61470548713027,69.91918726329251,37.44515453826893,37.44515453826893,0.0
14,3.0964802535186817,19.504316261598877,0.0,51.60284342488883,0.0,2.157214576618015,82.94093427814835,254.95041236111112,172.00947808296277,172.00947808296277,0.0,82.9409326851582,60.99333357010616,27.868322281668135,27.868322281668135,0.0
15,1.2438561017642518,20.74817236336313,0.0,20.728861935901254,0.0,0.8665530842290953,84.30666013032916,153.40286658333335,69.09620645300419,69.09620645300419,0.0,84.30666166927497,69.91918726329251,11.194704915878265,11.194704915878265,0.0
16,0.0,19.24557147296779,1.5026008903953376,0.0,7.211763025470231,0.0,89.79251373846226,53.73369861111111,-36.05881512735115,0.0,36.05881512735115,89.79251373846226,81.82032552087425,0.0,0.0,13.523408013558038
17,0.0,16.120258941714663,3.1253125312531256,0.0,15.0,0.0,97.04541737754927,5.075048216666667,-91.9703691608826,0.0,75.0,80.07504821666667,108.59788660043309,0.0,0.0,28.12781278127813
18,0.0,12.994946410461537,3.1253125312531256,0.0,15.0,0.0,98.25437602499625,0.11672151800000001,-98.13765450699624,0.0,75.0,75.116721518,127.93723626900338,0.0,0.0,28.12781278127813
19,0.0,9.869633879208411,3.1253125312531256,0.0,15.0,0.0,97.02042755602379,0.0,-97.02042755602379,0.0,75.0,75.0,121.98666714021263,0.0,0.0,28.12781278127813
20,0.0,6.744321347955285,3.1253125312531256,0.0,15.0,0.0,96.16745681210975,0.0,-96.16745681210975,0.0,75.0,75.0,111.57317116482857,0.0,0.0,28.12781278127813
21,0.0,3.6190088167021597,3.1253125312531256,0.0,15.0,0.0,92.0553546314215,0.0,-92.0553546314215,0.0,75.0,75.0,90.74617921406045,0.0,0.0,28.12781278127813
