Hour,Generated PV Power,Generated PV Energy,,,,,
1,0,0,,,,,
2,0,0,,,,,
3,0,0,,,,,
4,0,0,,,,,
5,0,0,,,,,
6,0,0,,,,,
7,0,0,,,,,
8,0,0,,,,,
9,31572.09,113659535.7,,,,,
10,138881.29,499972636.1,,,,,
11,235911.27,849280585.5,,,,,
12,308917.91,1112104479,,,,,
13,331398.96,1193036259,,,,,
14,314734.52,1133044278,,,,,
15,254950.41,917821484.5,,,,,
16,153402.87,552250319.7,,,,,
17,53733.7,193441315,,,,,
18,5075.05,18270173.58,,,,,
19,116.72,420197.4648,,,,,
20,0,0,,,,,
21,0,0,,,,,
22,0,0,,,,,
23,0,0,,,,,
24,0,0,,,,,
25,0,0,,,,,
26,0,0,,,,,
27,0,0,,,,,
28,0,0,,,,,
29,0,0,,,,,
30,0,0,,,,,
31,0,0,,,,,
32,0,0,,,,,
33,28532.05,102715392.1,,,,,
34,109226.5,393215390.6,,,,,
35,156935.42,564967528.1,,,,,
36,214916.64,773699902.7,,,,,
37,248056.13,893002078.5,,,,,
38,240309.33,865113585,,,,,
39,213268.25,767765707.5,,,,,
40,149817.93,539344555.6,,,,,
41,53676.62,193235816.6,,,,,
42,5405.73,19460633.01,,,,,
43,155.67,560399.6988,,,,,
44,0,0,,,,,
45,0,0,,,,,
46,0,0,,,,,
47,0,0,,,,,
48,0,0,,,,,
49,0,0,,,,,
50,0,0,,,,,
51,0,0,,,,,
52,0,0,,,,,
53,0,0,,,,,
54,0,0,,,,,
55,0,0,,,,,
56,0,0,,,,,
57,46823.48,168564525.4,,,,,
58,152411.3,548680682.3,,,,,
59,197390.89,710607214.8,,,,,
60,264121.13,950836075.2,,,,,
61,301451.77,1085226383,,,,,
62,302484.61,1088944604,,,,,
63,273648.07,985133061.2,,,,,
64,195788.59,704838915.5,,,,,
65,78056.12,281002031.2,,,,,
66,7830.37,28189339.91,,,,,
67,195.52,703864.9368,,,,,
68,0,0,,,,,
69,0,0,,,,,
70,0,0,,,,,
71,0,0,,,,,
72,0,0,,,,,
73,0,0,,,,,
74,0,0,,,,,
75,0,0,,,,,
76,0,0,,,,,
77,0,0,,,,,
78,0,0,,,,,
79,0,0,,,,,
80,0,0,,,,,
81,30935.47,111367709.1,,,,,
82,137167.4,493802624.9,,,,,
83,234987.49,845954963.3,,,,,
84,305359.75,1099295105,,,,,
85,337187.63,1213875471,,,,,
86,328814.39,1183731803,,,,,
87,283887.89,1021996395,,,,,
88,193356.93,696084955.9,,,,,
89,71894.91,258821685.2,,,,,
90,7581.19,27292266.71,,,,,
91,233.37,840124.7473,,,,,
92,0,0,,,,,
93,0,0,,,,,
94,0,0,,,,,
95,0,0,,,,,
96,0,0,,,,,
97,0,0,,,,,
98,0,0,,,,,
99,0,0,,,,,
100,0,0,,,,,
101,0,0,,,,,
102,0,0,,,,,
103,0,0,,,,,
104,0,0,,,,,
105,29881.95,107575013.6,,,,,
